Date,Price,Location,Bedroom,PropertyType
2021-08-21,42500000,Kaura,4,terraced duplex
2022-05-01,400000000,Apo,6,house
2022-10-02,56000000,Gwarinpa,3,terraced duplex
2022-10-02,75000000,Asokoro District,3,house
2022-08-08,75000000,Gwarinpa,4,semi-detached duplex
2022-05-19,55000000,Kubwa,5,detached duplex
2021-10-13,34500000,Kubwa,3,terraced duplex
2022-02-19,28500000,Kubwa,2,terraced duplex
2022-05-19,44500000,Kubwa,4,semi-detached duplex
2022-05-19,46500000,Kubwa,4,detached duplex
2022-10-02,95000000,Asokoro District,3,terraced duplex
2022-08-31,80000000,Gwarinpa,4,detached duplex
2022-05-19,250000000,Guzape District,5,semi-detached duplex
2022-05-22,1000000000,Guzape District,8,house
2022-05-25,80000000,Gaduwa,4,semi-detached duplex
2022-05-29,250000000,Asokoro District,7,semi-detached duplex
2022-06-15,70000000,Dakibiyu,3,terraced duplex
2022-09-05,950000000,Asokoro District,4,semi-detached duplex
2022-09-08,200000000,Gwarinpa,5,detached duplex
2022-10-02,130000000,Gwarinpa,5,detached duplex
2022-10-01,33000000,Mbora (Nbora),4,terraced duplex
2022-10-02,80000000,Guzape District,4,terraced duplex
2022-10-02,27000000,Lugbe District,2,semi-detached bungalow
2022-10-01,33000000,Mbora (Nbora),4,terraced duplex
2022-07-12,49500000,Gwarinpa,5,terraced duplex
2022-09-02,40000000,Life Camp,5,terraced duplex
2022-10-02,450000000,Katampe,4,semi-detached duplex
2022-10-02,52500000,Mabushi,4,terraced duplex
2022-10-02,450000000,Wuye,7,detached duplex
2022-08-15,71500000,Kado,6,detached duplex
2022-09-07,49500000,Gwarinpa,5,terraced duplex
2022-07-15,49500000,Gwarinpa,5,terraced duplex
2022-09-30,33000000,Mbora (Nbora),4,terraced duplex
2021-02-06,1600000000,Durumi,4,detached duplex
2022-10-02,150000000,Kado,5,detached duplex
2022-10-02,450000000,Katampe,4,semi-detached duplex
2022-10-01,150000000,Kado,5,house
2022-10-01,750000000,Maitama District,6,detached duplex
2022-04-18,110000000,Galadimawa,5,detached duplex
2022-10-01,900000000,Maitama District,7,detached duplex
2022-10-01,140000000,Wuse,4,terraced duplex
2022-09-25,260000000,Gwarinpa,5,detached duplex
2022-10-01,49500000,Gwarinpa,5,terraced duplex
2022-10-01,86000000,Life Camp,4,detached duplex
2022-05-07,60000000,Asokoro District,3,terraced duplex
2022-05-27,280000000,Asokoro District,4,detached duplex
2022-06-28,140000000,Asokoro District,5,detached duplex
2022-08-08,115000000,Asokoro District,4,semi-detached duplex
2022-10-01,50000000,Wuye,4,block of flats
2022-10-01,170000000,Wuye,4,semi-detached duplex
2022-10-01,200000000,Guzape District,5,house
2022-10-01,2800000000,Asokoro District,8,detached duplex
2021-08-11,1200000000,Maitama District,10,detached duplex
2022-09-03,999999999,Maitama District,5,detached duplex
2022-08-16,120000000,Guzape District,4,terraced duplex
2022-09-16,78000000,Gwarinpa,4,semi-detached duplex
2021-07-07,75000000,Lugbe District,4,house
2022-09-30,280000000,Gwarinpa,5,detached duplex
2022-09-30,200000000,Wuse,5,house
2022-09-30,450000000,Katampe,4,semi-detached duplex
2022-09-30,200000000,Wuse,5,detached duplex
2022-09-30,450000000,Garki,4,semi-detached duplex
2022-09-30,450000000,Katampe,5,detached duplex
2022-09-13,200000000,Katampe,4,semi-detached duplex
2022-09-30,160000000,Mabushi,5,detached duplex
2022-09-28,86000000,Life Camp,4,detached duplex
2022-09-30,130000000,Katampe,4,detached duplex
2022-07-31,800000000,Maitama District,5,detached duplex
2021-09-11,750000000,Katampe,6,detached duplex
2022-01-22,140000000,Gwarinpa,4,terraced duplex
2022-09-30,430000000,Katampe,6,detached duplex
2022-09-24,200000000,Asokoro District,5,detached duplex
2022-09-30,75000000,Jahi,4,terraced duplex
2022-07-25,250000000,Jahi,5,detached duplex
2022-09-30,95000000,Jahi,5,detached duplex
2022-09-30,60000000,Jahi,4,detached duplex
2022-09-30,48000000,Jahi,4,semi-detached duplex
2022-09-30,500000000,Asokoro District,5,detached duplex
2022-09-30,250000000,Maitama District,6,terraced duplex
2022-09-30,65000000,Kubwa,4,house
2022-09-30,30000000,Kubwa,3,block of flats
2022-09-30,95000000,Mabushi,5,terraced duplex
2022-08-05,127000000,Gwarinpa,5,semi-detached duplex
2022-09-30,95000000,Asokoro District,3,terraced duplex
2022-09-30,130000000,Gwarinpa,5,semi-detached duplex
2022-09-30,35000000,Karmo,3,terraced duplex
2022-09-29,90000000,Jahi,4,terraced duplex
2022-09-29,420000000,Jahi,4,block of flats
2021-12-25,320000000,Katampe,4,detached duplex
2022-09-30,60000000,Life Camp,4,detached duplex
2022-07-07,49000000,Lokogoma District,4,semi-detached duplex
2022-09-15,60000000,Lokogoma District,4,terraced duplex
2021-11-01,650000000,Asokoro District,6,detached duplex
2022-09-01,550000000,Wuye,5,detached duplex
2022-09-20,185000000,Jahi,5,terraced duplex
2022-09-30,800000000,Asokoro District,5,detached duplex
2022-09-29,31000000,Kubwa,4,terraced duplex
2022-09-29,26000000,Life Camp,3,terraced duplex
2022-08-15,120000000,Life Camp,4,house
2022-09-29,800000000,Asokoro District,5,detached duplex
2022-09-29,280000000,Wuye,4,semi-detached duplex
2022-09-29,800000000,Asokoro District,5,detached duplex
2022-09-29,900000000,Maitama District,7,detached duplex
2022-09-29,33000000,Mbora (Nbora),4,terraced duplex
2022-09-15,45000000,Lugbe District,3,detached bungalow
2022-09-27,240000000,Katampe,3,block of flats
2022-09-29,195000000,Gwarinpa,5,detached duplex
2022-09-29,1700000000,Jabi,3,block of flats
2022-09-29,1100000000,Asokoro District,6,detached duplex
2022-09-29,90000000,Durumi,4,terraced duplex
2022-09-29,67000000,Wuye,3,block of flats
2022-09-29,250000000,Apo,3,terraced duplex
2022-09-29,80000000,Garki,3,terraced duplex
2022-09-29,500000000,Gwarinpa,7,detached duplex
2022-09-29,70000000,Kubwa,6,detached duplex
2022-09-29,90000000,Guzape District,4,terraced duplex
2022-09-29,160000000,Wuse,6,detached duplex
2022-09-29,85000000,Mabushi,4,terraced duplex
2021-06-29,235000000,Guzape District,6,house
2021-10-02,750000000,Guzape District,5,detached duplex
2021-12-18,260000000,Guzape District,6,detached duplex
2022-01-04,70000000,Durumi,4,terraced duplex
2022-02-19,42000000,Lokogoma District,4,detached duplex
2022-02-19,470000000,Guzape District,8,detached duplex
2022-05-03,40000000,Gaduwa,3,terraced duplex
2022-09-29,450000000,Guzape District,6,detached duplex
2022-09-29,400000000,Maitama District,4,semi-detached duplex
2022-09-28,75000000,Guzape District,4,terraced duplex
2022-09-28,90000000,Guzape District,4,terraced duplex
2022-09-28,120000000,Guzape District,4,terraced duplex
2022-09-29,45000000,Lokogoma District,4,detached duplex
2022-09-29,500000000,Asokoro District,5,house
2022-09-28,800000000,Asokoro District,5,detached duplex
2022-09-27,175000000,Durumi,5,semi-detached duplex
2022-09-28,500000000,Asokoro District,5,detached duplex
2022-09-27,100000000,Life Camp,4,terraced duplex
2022-09-28,43000000,Mbora (Nbora),4,terraced duplex
2022-09-28,150000000,Guzape District,4,terraced duplex
2020-11-23,70000000,Life Camp,3,house
2022-04-08,1300000000,Katampe,4,house
2022-09-28,650000000,Katampe,7,house
2022-09-28,350000000,Wuse 2,5,semi-detached duplex
2022-09-28,1900000000,Maitama District,8,detached duplex
2022-09-28,200000000,Katampe,4,house
2022-04-06,1500000000,Maitama District,6,detached duplex
2021-08-26,850000000,Guzape District,9,detached duplex
2022-03-24,1500000000,Guzape District,5,terraced duplex
2022-09-27,210000000,Asokoro District,4,detached duplex
2022-09-28,130000000,Galadimawa,4,detached duplex
2022-09-28,17500000,Guzape District,2,detached bungalow
2021-05-23,375000000,Maitama District,5,detached duplex
2021-05-23,288000000,Maitama District,4,semi-detached duplex
2021-05-23,200000000,Maitama District,4,terraced duplex
2022-08-16,370000000,Guzape District,5,detached duplex
2022-09-04,1500000000,Maitama District,6,detached duplex
2022-09-28,100000000,Jahi,3,terraced duplex
2022-09-28,600000000,Katampe,7,detached duplex
2022-09-28,285000000,Jabi,5,detached duplex
2022-09-28,350000000,Katampe,5,detached duplex
2022-08-31,60000000,Lokogoma District,5,detached duplex
2022-09-20,120000000,Apo,4,semi-detached bungalow
2022-09-28,45000000,Lokogoma District,4,detached bungalow
2022-09-28,550000000,Gwarinpa,7,detached duplex
2022-07-31,39000000,Lokogoma District,4,detached duplex
2022-09-16,800000000,Maitama District,4,semi-detached duplex
2021-12-05,350000000,Guzape District,6,detached duplex
2022-09-27,95000000,Guzape District,4,semi-detached duplex
2022-09-27,205000000,Asokoro District,4,detached duplex
2022-09-27,105000000,Gwarinpa,5,terraced duplex
2022-09-27,650000000,Maitama District,5,detached duplex
2022-09-27,250000000,Jahi,5,detached duplex
2022-09-27,20000000,Lugbe District,4,detached duplex
2022-09-23,125000000,Katampe,4,semi-detached duplex
2022-09-27,85000000,Guzape District,4,terraced duplex
2022-08-25,75000000,Gwarinpa,5,terraced duplex
2022-09-24,140000000,Gaduwa,5,detached duplex
2022-02-27,300000000,Gwarinpa,7,detached duplex
2022-02-27,150000000,Jahi,4,terraced duplex
2022-03-02,850000000,Maitama District,6,detached duplex
2022-03-09,90000000,Wuye,3,terraced duplex
2022-09-27,600000000,Maitama District,5,detached duplex
2022-03-02,160000000,Wuse 2,3,detached duplex
2022-03-31,170000000,Gwarinpa,5,detached duplex
2022-04-25,145000000,Kaura,6,detached duplex
2022-05-10,250000000,Asokoro District,4,detached duplex
2022-05-10,90000000,Jahi,4,terraced duplex
2022-09-15,85000000,Wuye,4,terraced duplex
2022-05-22,230000000,Guzape District,5,detached duplex
2022-06-19,110000000,Mabushi,4,semi-detached duplex
2022-09-27,90000000,Life Camp,4,terraced duplex
2022-09-27,650000000,Katampe,7,detached duplex
2022-09-11,170000000,Asokoro District,5,semi-detached duplex
2021-12-06,1200000000,Life Camp,4,semi-detached duplex
2022-03-26,125000000,Mabushi,4,semi-detached duplex
2022-03-29,65000000,Gwarinpa,4,terraced duplex
2022-07-16,270000000,Gwarinpa,7,detached duplex
2022-09-27,750000000,Maitama District,6,detached duplex
2022-08-27,45000000,Life Camp,4,terraced duplex
2022-09-27,95000000,Idu Industrial,5,semi-detached duplex
2022-09-27,150000000,Wuye,4,terraced duplex
2022-09-27,120000000,Jahi,4,terraced duplex
2022-09-19,1200000000,Asokoro District,9,detached duplex
2022-09-27,350000000,Gwarinpa,4,semi-detached duplex
2022-01-13,70000000,Galadimawa,4,semi-detached duplex
2022-02-17,300000000,Katampe,6,detached duplex
2022-01-15,140000000,Gwarinpa,4,terraced duplex
2022-09-26,1000000000,Maitama District,7,detached duplex
